"ID","X","Y","City","Date Collected","Nightly Price","Monthly Price","Neighborhood","Room Type","Street","Units","URL","User URL"
"air1016337",-90.06261229398,29.964869401495,"New Orleans","2015-08-19T01:15:01.287Z",115,3220,"MarignyBywater","Entire home/apt","Burgundy Street",1,"http://airbnb.com/rooms/1016337","http://airbnb.com/users/show/929283"
"air4117885",-90.046846568807,29.969570753071,"New Orleans","2015-08-11T16:30:25.494Z",60,1680,"St ClaudeSt Roch","Private room","Saint Ferdinand Street",1,"http://airbnb.com/rooms/4117885","http://airbnb.com/users/show/21363702"
"air4310528",-90.073842534903,29.933105279338,"New Orleans","2015-08-11T16:30:25.494Z",195,3000,"Lower Garden District","Entire home/apt","Sophie Wright Place",3,"http://airbnb.com/rooms/4310528",""
"air2192470",-90.019898179925,29.961037784726,"New Orleans","2015-08-19T01:15:01.287Z",40,1120,"Holy CrossLower Ninth Ward","Private room","Burgundy Street",2,"http://airbnb.com/rooms/2192470","http://airbnb.com/users/show/1832077"
"air3714419",-90.074085956543,29.997866871791,"New Orleans","2015-08-19T01:15:01.287Z",139,3050,"","Entire home/apt","Caton St",1,"http://airbnb.com/rooms/3714419","http://airbnb.com/users/show/1401975"
"air2189294",-90.086220717774,29.922768175011,"New Orleans","2015-08-19T01:15:01.287Z",140,2000,"Irish Channel","Entire home/apt","Toledano Street",2,"http://airbnb.com/rooms/2189294","http://airbnb.com/users/show/10948438"
"air2250080",-90.109592698618,29.953202471476,"New Orleans","2015-08-19T01:15:01.287Z",125,3500,"Fontainebleau","Entire home/apt","Vincennes Place",1,"http://airbnb.com/rooms/2250080","http://airbnb.com/users/show/11491946"
"air4416797",-90.08348759326,29.97141420728,"New Orleans","2015-08-19T01:15:01.287Z",70,1960,"Bayou St John","Private room","North White Street",1,"http://airbnb.com/rooms/4416797","http://airbnb.com/users/show/22925370"
"air2683528",-90.070813123585,29.970085661737,"New Orleans","2015-08-19T01:15:01.287Z",255,7140,"Seventh Ward","Entire home/apt","Esplanade Avenue",1,"http://airbnb.com/rooms/2683528","http://airbnb.com/users/show/9453856"
"air3373206",-90.065543504006,29.968616453703,"New Orleans","2015-08-19T01:15:01.287Z",1650,46200,"Seventh Ward","Entire home/apt","Columbus Street",4,"http://airbnb.com/rooms/3373206","http://airbnb.com/users/show/10621726"
"air4163653",-90.069735804277,29.952185392879,"New Orleans","2015-08-11T16:30:25.494Z",144,2500,"Central Business District","Entire home/apt","Carondelet Street",3,"http://airbnb.com/rooms/4163653",""
"air1195637",-90.06664187657,29.961809277453,"New Orleans","2015-08-19T01:15:01.287Z",110,3080,"French Quarter","Entire home/apt","Dumaine Street",4,"http://airbnb.com/rooms/1195637","http://airbnb.com/users/show/6534205"
"air2842002",-90.067158892483,29.958009501802,"New Orleans","2015-08-19T01:15:01.287Z",125,3500,"French Quarter","Entire home/apt","Saint Louis Street",1,"http://airbnb.com/rooms/2842002","http://airbnb.com/users/show/14536981"
"air2545032",-90.060909374787,29.958079796824,"New Orleans","2015-08-19T01:15:01.287Z",175,4900,"French Quarter","Entire home/apt","Dumaine Street",1,"http://airbnb.com/rooms/2545032","http://airbnb.com/users/show/12304873"
"air2283671",-90.063668289853,29.964754949609,"New Orleans","2015-08-19T01:15:01.287Z",200,5600,"French Quarter","Entire home/apt","Governor Nicholls Street",1,"http://airbnb.com/rooms/2283671","http://airbnb.com/users/show/3626759"
"air4039538",-90.064665227135,29.962890400877,"New Orleans","2015-08-19T01:15:01.287Z",600,16800,"French Quarter","Entire home/apt","Burgundy Street",1,"http://airbnb.com/rooms/4039538","http://airbnb.com/users/show/20943843"
"air4377817",-90.064168876537,29.970223509439,"New Orleans","2015-08-19T01:15:01.287Z",250,5000,"Seventh Ward","Entire home/apt","Urquhart Street",2,"http://airbnb.com/rooms/4377817","http://airbnb.com/users/show/22721317"
"air2710017",-90.046651143439,29.970016256327,"New Orleans","2015-08-19T01:15:01.287Z",125,3500,"St ClaudeSt Roch","Private room","Montegut Street",2,"http://airbnb.com/rooms/2710017","http://airbnb.com/users/show/13868677"
"air4286404",-90.040370639606,29.96330789501,"New Orleans","2015-08-19T01:15:01.287Z",475,13300,"MarignyBywater","Entire home/apt","Dauphine Street",1,"http://airbnb.com/rooms/4286404","http://airbnb.com/users/show/16702162"
"air4091983",-90.068702707512,29.942776461299,"New Orleans","2015-08-11T16:30:25.494Z",433,12124,"Lower Garden District","Entire home/apt","Constance Street",1,"http://airbnb.com/rooms/4091983","http://airbnb.com/users/show/21223274"
"air4400283",-90.049064010196,29.975979345933,"New Orleans","2015-08-19T01:15:01.287Z",125,3500,"St ClaudeSt Roch","Entire home/apt","Painters Street",1,"http://airbnb.com/rooms/4400283","http://airbnb.com/users/show/22774680"
"air1779104",-90.129636073415,30.015455720235,"Metairie","2015-08-19T01:15:01.287Z",150,4200,"","Entire home/apt","Oaklawn Drive",1,"http://airbnb.com/rooms/1779104","http://airbnb.com/users/show/9341064"
"air4163583",-90.086455080748,29.919312574713,"New Orleans","2015-08-19T01:15:01.287Z",350,9800,"East and West Riverside","Entire home/apt","Louisiana Avenue",1,"http://airbnb.com/rooms/4163583","http://airbnb.com/users/show/21608852"
"air2400958",-90.092177650517,29.921767808017,"New Orleans","2015-08-19T01:15:01.287Z",250,1900,"East and West Riverside","Entire home/apt","Constance Street",2,"http://airbnb.com/rooms/2400958","http://airbnb.com/users/show/11458352"
"air898632",-90.117690914425,29.946467709364,"New Orleans","2015-08-19T01:15:01.287Z",167,4676,"","Private room","Green Street",1,"http://airbnb.com/rooms/898632","http://airbnb.com/users/show/4370699"
"air2751739",-90.075713003841,29.931114710384,"New Orleans","2015-08-11T16:30:25.494Z",175,4900,"Lower Garden District","Entire home/apt","Saint Andrew Street",1,"http://airbnb.com/rooms/2751739","http://airbnb.com/users/show/1735676"
"air2781610",-90.075438769558,29.93397598216,"New Orleans","2015-08-11T16:30:25.494Z",149,4172,"Lower Garden District","Entire home/apt","Saint Mary Street",3,"http://airbnb.com/rooms/2781610",""
"air3361426",-90.067863957912,29.973070697314,"New Orleans","2015-08-19T01:15:01.287Z",150,4200,"Seventh Ward","Entire home/apt","Kerlerec Street",1,"http://airbnb.com/rooms/3361426","http://airbnb.com/users/show/16958303"
"air1026108",-90.067741729611,29.967194989967,"New Orleans","2015-08-19T01:15:01.287Z",150,4200,"","Private room","Marais Street",1,"http://airbnb.com/rooms/1026108","http://airbnb.com/users/show/5649317"
"air2420310",-90.070228398803,29.953253871656,"New Orleans","2015-08-11T16:30:25.494Z",150,4200,"Central Business District","Entire home/apt","Common Street",1,"http://airbnb.com/rooms/2420310","http://airbnb.com/users/show/12371162"
"air762158",-90.068934627014,29.951190509275,"New Orleans","2015-08-19T01:15:01.287Z",325,9100,"Central Business District","Entire home/apt","Gravier St",2,"http://airbnb.com/rooms/762158","http://airbnb.com/users/show/2341642"
"air1483729",-90.066583806663,29.951822236458,"New Orleans","2015-08-19T01:15:01.287Z",260,7280,"Central Business District","Entire home/apt","Magazine Street",1,"http://airbnb.com/rooms/1483729","http://airbnb.com/users/show/7558719"
"air4179949",-90.065610113708,29.952575556853,"New Orleans","2015-08-19T01:15:01.287Z",105,2940,"French Quarter","Entire home/apt","Bienville Street",1,"http://airbnb.com/rooms/4179949","http://airbnb.com/users/show/21640492"
"air4096896",-90.068012274688,29.957738022566,"New Orleans","2015-08-19T01:15:01.287Z",249,6972,"French Quarter","Entire home/apt","Dauphine Street",4,"http://airbnb.com/rooms/4096896","http://airbnb.com/users/show/2723037"
